id ,name     ,species ,breed               ,image_url                                                                                                            ,weight   ,description                                                           ,created_at          ,updated_at
17 ,Max      ,Dog     ,Poodle              ,https://upload.wikimedia.org/wikipedia/commons/f/f8/Full_attention_%288067543690%29.jpg                              ,  20.0   ,"Intelligent standard poodle with curly fur."                         ,2023-07-22 11:20:00 ,2023-07-22 11:20:00
18 ,Tiger    ,Cat     ,Bengal              ,https://upload.wikimedia.org/wikipedia/commons/b/ba/Paintedcats_Red_Star_standing.jpg                                ,   5.0   ,"Spotted Bengal cat with a wild appearance."                          ,2023-07-22 11:25:00 ,2023-07-22 11:25:00
19 ,Rio      ,Bird    ,Macaw               ,https://upload.wikimedia.org/wikipedia/commons/6/6d/Blue-and-Yellow-Macaw.jpg                                        ,   1.0   ,"Colorful macaw with a loud voice and playful nature."                ,2023-07-22 11:30:00 ,2023-07-22 11:30:00
20 ,Nessie   ,Fish    ,Loch Ness Monster   ,https://upload.wikimedia.org/wikipedia/commons/5/5e/Nessie.jpg                                                       ,5000.0   ,"Mythical creature said to inhabit Loch Ness."                        ,2023-07-22 11:35:00 ,2023-07-22 11:35:00
21 ,Charlie  ,Dog     ,Beagle              ,https://upload.wikimedia.org/wikipedia/commons/5/55/Beagle_600.jpg                                                   ,  12.0   ,"Curious Beagle with a keen sense of smell."                          ,2023-07-22 11:40:00 ,2023-07-22 11:40:00
22 ,Simba    ,Cat     ,Orange Tabby        ,https://upload.wikimedia.org/wikipedia/commons/6/66/An_up-close_picture_of_a_curious_male_tabby_cat.jpg              ,   4.8   ,"Majestic orange tabby cat with a lion-like mane."                    ,2023-07-22 11:45:00 ,2023-07-22 11:45:00
23 ,Coco     ,Bird    ,Cockatoo            ,https://upload.wikimedia.org/wikipedia/commons/0/07/Cacatua_moluccensis_-Kuala_Lumpur_Bird_Park-8.jpg                ,   0.9   ,"White cockatoo with a vibrant yellow crest."                         ,2023-07-22 11:50:00 ,2023-07-22 11:50:00
24 ,Slither  ,Reptile ,Corn Snake          ,https://upload.wikimedia.org/wikipedia/commons/6/66/Corn_snake_red.jpg                                               ,   0.3   ,"Colorful corn snake, popular as a pet."                              ,2023-07-22 11:55:00 ,2023-07-22 11:55:00
25 ,Bella    ,Dog     ,Chihuahua           ,https://upload.wikimedia.org/wikipedia/commons/4/4c/Chihuahua1_bvdb.jpg                                              ,   2.5   ,"Tiny but feisty Chihuahua with big personality."                     ,2023-07-22 12:00:00 ,2023-07-22 12:00:00
26 ,Shadow   ,Cat     ,Black Cat           ,https://upload.wikimedia.org/wikipedia/commons/4/4c/Black_cat_portrait.jpg                                           ,   4.0   ,"Sleek black cat with golden eyes."                                   ,2023-07-22 12:05:00 ,2023-07-22 12:05:00
27 ,Sunny    ,Bird    ,Sun Conure          ,https://upload.wikimedia.org/wikipedia/commons/9/93/Sun_Conure_Pet.jpg                                               ,   0.12  ,"Bright and energetic sun conure parrot."                             ,2023-07-22 12:10:00 ,2023-07-22 12:10:00
28 ,Goldie   ,Fish    ,Koi                 ,https://upload.wikimedia.org/wikipedia/commons/f/f9/Koi_carp.jpg                                                     ,   4.5   ,"Large, ornamental koi fish with golden scales."                      ,2023-07-22 12:15:00 ,2023-07-22 12:15:00
29 ,Duke     ,Dog     ,Great Dane          ,https://upload.wikimedia.org/wikipedia/commons/0/0c/Great_Dane_fawn_Odin.jpg                                         ,  65.0   ,"Gentle giant Great Dane, known for its size and calm nature."        ,2023-07-22 12:20:00 ,2023-07-22 12:20:00
30 ,Misty    ,Cat     ,Persian             ,https://upload.wikimedia.org/wikipedia/commons/1/15/White_Persian_Cat.jpg                                            ,   3.5   ,"Long-haired Persian cat with a flat face and luxurious coat."        ,2023-07-22 12:25:00 ,2023-07-22 12:25:00
